Source ID,Title,Source Type,Location,Path,Bytes,SHA256,Git Commit Introduced,Date Introduced,Git Commit Last Touched,Date Last Touched
S-0001,A2-09_redteam_coordinate_arm.py,Analysis/Finding,repo,audit/weather-simulation-11.0/A2-09_redteam_coordinate_arm.py,3990,9e0a52ea51335cc87f3a4c235ee18a602486012a6629b2b9ce42221c6690a774,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0002,A2-09_redteam_same_coord_control.py,Analysis/Finding,repo,audit/weather-simulation-11.0/A2-09_redteam_same_coord_control.py,5756,db49531a8184c255d53ab0bc389f47afa4d686897b2b7cecdcbd9e97f4b1c5aa,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0003,ARCHITECTURE_AUTHORITY_MAP.md,Analysis/Finding,repo,audit/weather-simulation-11.0/ARCHITECTURE_AUTHORITY_MAP.md,78883,28a148eafeb0bc4a985cbbaeabc9964f88b823e3841cde1e11e3a7a805135337,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0004,CHAT_AND_HANDOFF_LEDGER.md,Ledger/Matrix,repo,audit/weather-simulation-11.0/CHAT_AND_HANDOFF_LEDGER.md,29073,e85cbe01a5c04698df5ee4f1d10e867efa19fc0ce34c7dca01396b0ce4df5d14,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0005,COMMIT_REVIEW_LEDGER.csv,Ledger/Matrix,repo,audit/weather-simulation-11.0/COMMIT_REVIEW_LEDGER.csv,93656,d7e9276822247840f048e2bf18cdf44992c96346d54e2dd46f130a63168da418,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0006,D01-jest.config.js,Analysis/Finding,repo,audit/weather-simulation-11.0/D01-jest.config.js,644,8f75c086b8013e6f8b22c90a70d8ce16b910b355fb72a04f3d501586b03c8de8,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0007,D01-reentry.test.js,Analysis/Finding,repo,audit/weather-simulation-11.0/D01-reentry.test.js,4639,4a11900b4b598c9006392a3e7a51c894bb4df57d5de8a039234e5ef0c4ea06bc,90e9782c,2026-08-09,90e9782c,2026-08-09
S-0008,EXECUTIVE_RECOVERY_BRIEF_11.0.md,Executive Brief,repo,audit/weather-simulation-11.0/EXECUTIVE_RECOVERY_BRIEF_11.0.md,8383,e3cbebf61d8483f4ad064d240adbdcd65f102e52eaa5e32708987bc40b3fbade,90e9782c,2026-08-09,8f1fcf41,2026-08-09
S-0009,FIRST_IMPLEMENTATION_PACKET.md,Implementation Packet,repo,audit/weather-simulation-11.0/FIRST_IMPLEMENTATION_PACKET.md,8980,e84877b6f60251d7cc1694be0e3d8eccadfa9b729e41ba4fde97c3ea56a04626,90e9782c,2026-08-09,8f1fcf41,2026-08-09
S-0010,G-E1-04-period-sensitivity.py,Analysis/Finding,repo,audit/weather-simulation-11.0/G-E1-04-period-sensitivity.py,2986,e0c9af346e3d923f95c1e8e7b20ea0d3428942bab0ba30221cde770ff3d1d6f6,90e9782c,2026-08-09,90e9782c,2026-08-09
