probe_id,input_j,delta_j,output_i,J_ij_delta_output,baseline_noise_spread,exceeds_noise,expected_relationship,classification,repeatable,evidence_file,note
zoom_+3_(8to11),zoom,+3,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,texLive,60,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,bufLive,464,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,programs,1,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+3_(8to11),zoom,+3,requests,30,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,texLive,1,0,YES,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,bufLive,345,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,programs,2,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_-3_(8to5),zoom,-3,requests,10,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,texLive,62,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
zoom_+5_(8to13),zoom,+5,bufLive,455,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
